article,line_no,phrase,global_citations
"Brauer-Vigoderis R, 2014, DYNA, V81, P36",2,furnace with indirect air heating.,7
"Brauer-Vigoderis R, 2014, DYNA, V81, P36",3,"radiant experimental ""drum"" system with an infrared supplemental heating system).",7
"Brauer-Vigoderis R, 2014, DYNA, V81, P36",4,values were obtained continuously from three median points of each facility at the same height of the birds - measuring the relative humidity and air temperature - for the determination of thi.,7
"Brauer-Vigoderis R, 2014, DYNA, V81, P36",5,"for the analysis of litter humidity and litter ph, four samples were collected at four different points in each shed every two days during the period in which the heating systems were used.",7
"Brauer-Vigoderis R, 2014, DYNA, V81, P36",6,"in the poultry houses, the thi values detected were within the range considered adequate for the development of animals in their first week, respecting the requirements of animal welfare.",7
"Brauer-Vigoderis R, 2014, DYNA, V81, P36",7,"in their second week of life, excessive values of thi were detected, featuring discomfort and energy waste.",7
"Brauer-Vigoderis R, 2014, DYNA, V81, P36",8,"in environments heated by the evaluated systems, the litter moisture content is maintained a suitable value according to the literature, however, the ph values of the litter samples collected in the production environments showed a basic environment, making it suitable for growth of ammonifying bacteria.",7
"Brauer-Vigoderis R, 2014, DYNA, V81, P36",9,the authors.,7
"Brauer-Vigoderis R, 2014, DYNA, V81, P36",10,licensee universidad nacional de colombia.,7
"Giraldo-Londono O, 2014, DYNA, V81, P56",0,"the dynamic stability of an elastic prismatic slender column with semirigid connections at both ends of identical stiffness and with sidesway between the two ends totally inhibited, subject to parametric axial loads including the combined effects of rotary inertia and external damping is investigated in a classical manner.",2
"Giraldo-Londono O, 2014, DYNA, V81, P56",1,closed-form expressions that can be used to predict the dynamic instability regions of slender columns are developed by making use of floquet's theory.,2
"Giraldo-Londono O, 2014, DYNA, V81, P56",2,the proposed solution is capable of capturing the phenomena of stability of columns under periodic axial loads using a single column element.,2
"Giraldo-Londono O, 2014, DYNA, V81, P56",3,"the proposed method and corresponding equations can be used to investigate the effects of damping, rotary inertia and semirigid connections on the stability analysis of slender columns under periodically varying axial loads.",2
"Giraldo-Londono O, 2014, DYNA, V81, P56",4,"the effects produced by shear deformations along the span of the column as well as those produced by the axial inertia, the coupling between longitudinal and transverse deflections and the curvature are not taken into account.",2
"Giraldo-Londono O, 2014, DYNA, V81, P56",5,"sensitivity studies are presented in a companion paper that show the effects of rotary inertia, damping and semirigid connections on the dynamic stability of columns under parametric axial loads.",2
"Giraldo-Londono O, 2014, DYNA, V81, P56",6,the authors.,2
"Giraldo-Londono O, 2014, DYNA, V81, P56",7,licensee universidad nacional de colombia.,2
"Salazar A/2, 2014, DYNA, V81, P73",0,industrial-scale production of biopolymers is restricted by its elevated production costs in comparison with those associated with synthetic (no-biodegradable and no-biocompatible) polymers.,7
"Salazar A/2, 2014, DYNA, V81, P73",1,in this study we tested for the first time two low-cost carbon substrates (i.e.,7
"Salazar A/2, 2014, DYNA, V81, P73",2,carob pulp and fique juice) for lab-scale production of polyhydroxyalkanoate (pha) with bacillus megaterium.,7
"Salazar A/2, 2014, DYNA, V81, P73",3,pha detection and quantification was conducted by gas chromatography/mass spectrometry-selected ion monitoring (gc/ms-sim).,7
"Salazar A/2, 2014, DYNA, V81, P73",4,the results suggest that pha production using carob pulp (from hymenaea courbaril) may be as high as with sugar cane molasses.,7
"Salazar A/2, 2014, DYNA, V81, P73",5,"moreover, it could serve for the synthesis of the most commercialized type of pha (i.e.",7
"Salazar A/2, 2014, DYNA, V81, P73",6,polyhydroxybutyrate.,7
"Salazar A/2, 2014, DYNA, V81, P73",7,phb) and/or other varieties (e.g.,7
"Salazar A/2, 2014, DYNA, V81, P73",8,polyhydroxy-butyrate-co-valerate.,7
"Salazar A/2, 2014, DYNA, V81, P73",9,phbv) with different properties and potential applications.,7
"Salazar A/2, 2014, DYNA, V81, P73",10,the authors.,7
"Salazar A/2, 2014, DYNA, V81, P73",11,licensee universidad nacional de colombia.,7
"de Rosario-Amado I, 2014, DYNA, V81, P57",0,"3d modelling has been used to simulate the restoration of mining environments, mainly due to ease of use.",1
"de Rosario-Amado I, 2014, DYNA, V81, P57",1,"however, this technique poorly models natural structures, such as leaves, coastlines, mountain systems, etc.",1
"de Rosario-Amado I, 2014, DYNA, V81, P57",2,recent digital technology innovations have led to the development of fractal geometry software that reiterates geometric objects at different scales.,1
"de Rosario-Amado I, 2014, DYNA, V81, P57",3,below we describe how this geometry can be used for environmental restoration and rehabilitation.,1
"de Rosario-Amado I, 2014, DYNA, V81, P57",4,we present a case study describing an application of fractal geometry to the restoration of a mined-out open pit.,1
"de Rosario-Amado I, 2014, DYNA, V81, P57",5,we conclude with a discussion of the advantages-mainly realism and the rapid execution time-of using this type of geometry versus 3d modelling for mining restorations.,1
"de Rosario-Amado I, 2014, DYNA, V81, P57",6,the authors.,1
"de Rosario-Amado I, 2014, DYNA, V81, P57",7,licensee universidad nacional de colombia.,1
"Giraldo-Londono O, 2014, DYNA, V81, P66",0,"the dynamic stability of an elastic prismatic slender column with semirigid connections at both ends of identical stiffness and with sidesway between the two ends totally inhibited, subject to parametric axial loads including the combined effects of rotary inertia and external damping was presented in a companion paper.",1
"Giraldo-Londono O, 2014, DYNA, V81, P66",1,closed-form expressions that predict the dynamic instability regions of slender columns were developed by making use of floquet's theory.,1
"Giraldo-Londono O, 2014, DYNA, V81, P66",2,the proposed equations are straightforward and simple to apply.,1
"Giraldo-Londono O, 2014, DYNA, V81, P66",3,the proposed solution is capable of capturing the phenomena of stability of columns under periodic axial loads using a single column element.,1
"Giraldo-Londono O, 2014, DYNA, V81, P66",4,"the proposed method and corresponding equations can be used to investigate the effects of damping, rotary inertia and semirigid connections on the stability analysis of slender columns under periodically varying axial loads.",1
"Giraldo-Londono O, 2014, DYNA, V81, P66",5,"sensitivity studies are presented herein that show the effects of rotary inertia, damping and semirigid connections on the dynamic stability of columns under parametric axial loads.",1
"Giraldo-Londono O, 2014, DYNA, V81, P66",6,"analytical studies indicate that the dynamic behavior of columns under periodic loading is strongly affected by the flexural stiffness of the end connections and the external damping, but not so much by the rotary inertia.",1
"Giraldo-Londono O, 2014, DYNA, V81, P66",7,three examples are presented in detail and the calculated results are compared with those reported by other researchers.,1
"Giraldo-Londono O, 2014, DYNA, V81, P66",8,the authors.,1
"Giraldo-Londono O, 2014, DYNA, V81, P66",9,licensee universidad nacional de colombia.,1
"Ortega-Moody JA, 2014, DYNA, V81, P48",0,the tortilla is obtained by the traditional process of nixtamalization.,2
"Ortega-Moody JA, 2014, DYNA, V81, P48",1,this process has two disadvantages: production of liquid waste and it is in batches.,2
"Ortega-Moody JA, 2014, DYNA, V81, P48",2,"extrusion has resolved the problem of liquid waste, however, extrusion as of yet, has not been able to replace the traditional process of nixtamalization.",2
"Ortega-Moody JA, 2014, DYNA, V81, P48",3,"this is because corn dough is a pseudoplastic fluid, which changes its viscosity in the presence of high shear velocities that occur inside the extruder.",2
"Ortega-Moody JA, 2014, DYNA, V81, P48",4,"with this in mind, the following investigation proposes the mechanical design and construction of a low shear laminar transport system (lslts) for the production of corn dough for tortillas.",2
"Ortega-Moody JA, 2014, DYNA, V81, P48",5,this system consists of two thermally isolated stages: transport and cooking stages.,2
"Ortega-Moody JA, 2014, DYNA, V81, P48",6,"the results showed that the prototype obtained meets the characteristics of homogenous cooking, low shear, absence of liquid waste and the product meets the specifications for nixtamal dough.",2
"Ortega-Moody JA, 2014, DYNA, V81, P48",7,the authors.,2
"Ortega-Moody JA, 2014, DYNA, V81, P48",8,licensee universidad nacional de colombia.,2
"Escobar-Macualo FH, 2014, DYNA, V81, P78",0,it is common in the oil industry to complete horizontal wells selectively.,1
"Escobar-Macualo FH, 2014, DYNA, V81, P78",1,"even, this selection is performed naturally since reservoir heterogeneity may cause segmented well performance.",1
"Escobar-Macualo FH, 2014, DYNA, V81, P78",2,segmentation may be partially open to flux due to high skin factor or low permeability bands.,1
"Escobar-Macualo FH, 2014, DYNA, V81, P78",3,they can be treated as a nonuniform skin distribution.,1
"Escobar-Macualo FH, 2014, DYNA, V81, P78",4,a few models have been introduced to capture these special details.,1
"Escobar-Macualo FH, 2014, DYNA, V81, P78",5,existing interpretation methodologies use non-linear regression analysis and the tds technique.,1
"Escobar-Macualo FH, 2014, DYNA, V81, P78",6,"but, there is an absence of equations for the conventional technique.",1
"Escobar-Macualo FH, 2014, DYNA, V81, P78",7,"in this study, the conventional methodology is developed for the analysis of pressure transient tests in horizontal wells with isolated zones so directional permeabilities and skin factors can be obtained.",1
"Escobar-Macualo FH, 2014, DYNA, V81, P78",8,the developed expressions were tested successfully with several examples reported in the literature and compared to results from other sources.,1
"Escobar-Macualo FH, 2014, DYNA, V81, P78",9,the authors.,1
"Escobar-Macualo FH, 2014, DYNA, V81, P78",10,licensee universidad nacional de colombia.,1
"Constain-Aragon AJ, 2014, DYNA, V81, P19",0,one of first practical definitions for numerical solutions of classical model of advection-dispersion was the elder's equation developed in 1959. this relationship based on the theoretical guidance proposed by g.i.,4
"Constain-Aragon AJ, 2014, DYNA, V81, P19",1,"taylor for long, straight pipes, extent successfully the method for the case of ideal prismatic, wide channels in open flow.",4
"Constain-Aragon AJ, 2014, DYNA, V81, P19",2,"however, wishing to apply it to real cases with varied geometry the results were not satisfactory due to several reasons which will be examined in this article.",4
"Constain-Aragon AJ, 2014, DYNA, V81, P19",3,"this limiting situation for the equation is inconvenient for two reasons: first, whatsoever it is a very used equation due to its simplicity and to the fact that involve geomorphologic parameters, without requiring tracers.",4
"Constain-Aragon AJ, 2014, DYNA, V81, P19",4,"secondly but not the less important, because it is based on fundamental mechanisms that are widely accepted, and then they should not lead to results in conflict with experiments.",4
"Constain-Aragon AJ, 2014, DYNA, V81, P19",5,"for these reasons, and also because the study of water quality depends critically on the understanding of these processes, it is interesting to review this subject.",4
"Constain-Aragon AJ, 2014, DYNA, V81, P19",6,it will be tried to show if it is used a longitudinal coefficient function of time it is possible to recover the applicability of equation.,4
"Constain-Aragon AJ, 2014, DYNA, V81, P19",7,for this it is used an extended work of phd thesis done by h.b.,4
"Constain-Aragon AJ, 2014, DYNA, V81, P19",8,fischer in the mc keck channel of caltech on behavior of elder's relationship.,4
"Constain-Aragon AJ, 2014, DYNA, V81, P19",9,the authors.,4
"Constain-Aragon AJ, 2014, DYNA, V81, P19",10,licensee universidad nacional de colombia.,4
"Galeano-Osorio DS, 2014, DYNA, V81, P94",0,"amorphous carbon nitride films have been obtained by pulsed cathodic arc at substrate temperatures of 20, 100, 150 and 200 c. film structure was investigated by fourier transformed infrared spectroscopy (ftir) and raman spectroscopy.",5
"Galeano-Osorio DS, 2014, DYNA, V81, P94",1,nitrile bands at approximately 2200 cm-1 were identified in all films.,5
"Galeano-Osorio DS, 2014, DYNA, V81, P94",2,as the temperature increased a reduction in the concentration of sp3 bonds and a decrease in the structure disorder were observed.,5
"Galeano-Osorio DS, 2014, DYNA, V81, P94",3,the relative intensity ratio of raman d and g bands increased as the substrate temperature increased from 20 to 100c.,5
"Galeano-Osorio DS, 2014, DYNA, V81, P94",4,"nevertheless, at a critical temperature of 150c, this trend was broken, and the film became amorphous.",5
"Galeano-Osorio DS, 2014, DYNA, V81, P94",5,"a peak at approximately 1610 cm-1 of films grown at 100c, 150c and 200 c suggests that cnx is dominated by a relatively ordered graphite ring like glassy carbon.",5
"Galeano-Osorio DS, 2014, DYNA, V81, P94",6,"moreover, the film grown at 150 c presented the lowest roughness and the highest hardness and hemocompatibility.",5
"Galeano-Osorio DS, 2014, DYNA, V81, P94",7,the authors.,5
"Galeano-Osorio DS, 2014, DYNA, V81, P94",8,licensee universidad nacional de colombia.,5
"Borras-Formoso R, 2014, DYNA, V81, P211",0,"this paper aims to describe an alternative design (protected by patent), for an onshore wave based energy converter, specifically an oscillating water column, capable of providing increased efficiency.",4
"Borras-Formoso R, 2014, DYNA, V81, P211",1,"in order to compare the various alternative designs, a theoretical model that describes the physical behavior with certain restrictions is proposed.",4
"Borras-Formoso R, 2014, DYNA, V81, P211",2,the converters incorporate a rectifying barrier leading to a large pool of water between the sea and the converter.,4
"Borras-Formoso R, 2014, DYNA, V81, P211",3,"in order to estimate the theoretical increase in achievable power, a theoretic cycle model is assumed for the simulation of its operational dynamics using a simplified ideal behavior: regular waves, the air assumed to be an ideal gas, with adiabatic compression and expansion.",4
"Borras-Formoso R, 2014, DYNA, V81, P211",4,the results obtained show that a correct adjustment of the turbine differential pressure contributes to an increase in the available power output.,4
"Borras-Formoso R, 2014, DYNA, V81, P211",5,we conclude that the proposed innovations can lead to an improved technology applicable to this type of converters.,4
"Borras-Formoso R, 2014, DYNA, V81, P211",6,the authors.,4
"Borras-Formoso R, 2014, DYNA, V81, P211",7,licensee universidad nacional de colombia.,4
"Correa-Avendano R, 2014, DYNA, V81, P159",0,"this study evaluated the effect of the silver content of al-cu based alloys on the microstructure, the tensile strength, the electrical resistance and the temperature increase with the passage of electric current (joule effect).",2
"Correa-Avendano R, 2014, DYNA, V81, P159",1,"for that purpose, al-4% cu-0, 5% mg alloys were tested with silver content in proportions of 1.5%, 2.5% and 3.5%.",2
"Correa-Avendano R, 2014, DYNA, V81, P159",2,precipitation hardening was carried out by homogenization heat treatment of solid solutions.,2
"Correa-Avendano R, 2014, DYNA, V81, P159",3,"the microstructure analysis was carried out using optical microscope and sem, vickers hardness tests was also performed, tests of tensile strength and electrical conductivity, which were compared with the alloy a356-t6.",2
"Correa-Avendano R, 2014, DYNA, V81, P159",4,the results of this research show that the increase of silver in the alloy increased tensile strength and decreases the resistivity.,2
"Correa-Avendano R, 2014, DYNA, V81, P159",5,"by sem and eds analysis of the phase  (cual2), al6 (cu, fe) and al7cu2fe was observed.",2
"Correa-Avendano R, 2014, DYNA, V81, P159",6,the authors.,2
"Correa-Avendano R, 2014, DYNA, V81, P159",7,licensee universidad nacional de colombia.,2
"Amaya-Roncancio S, 2014, DYNA, V81, P102",0,"three-dimensional molecular dynamics (md) simulations of a nanoindentation technique using the hard sphere method for cr (bcc) and al (fcc) thin films and (cr/al)n (n=1,2) systems were carried out.",2
"Amaya-Roncancio S, 2014, DYNA, V81, P102",1,"for the model implementation, morse interatomic potential was used for describing the single crystal interaction and the contact between cr and al structures.",2
"Amaya-Roncancio S, 2014, DYNA, V81, P102",2,"on the other hand, fixed boundary conditions were used and the repulsive radial potential was employed for modeling the spherical tip, and ideal mechanical properties at 0 k were obtained by simulating load-unload curves.",2
"Amaya-Roncancio S, 2014, DYNA, V81, P102",3,bilayers presented higher hardness and young's modulus than cr and al layers.,2
"Amaya-Roncancio S, 2014, DYNA, V81, P102",4,"moreover, the region of atoms movement after the unload process shows a continuous parabolic boundary for al and cr layers and a discontinuous boundary for the bilayers caused by the interfaces.",2
"Amaya-Roncancio S, 2014, DYNA, V81, P102",5,the authors.,2
"Amaya-Roncancio S, 2014, DYNA, V81, P102",6,licensee universidad nacional de colombia.,2
"Eduardo-Diaz C, 2014, DYNA, V81, P267",0,this research considers the design problem of distribution center and picking in a colombian textile company.,0
"Eduardo-Diaz C, 2014, DYNA, V81, P267",1,"through a literature review, the methodology for the design of the facility that best adjusts the company for minimize the time picking is set.",0
"Eduardo-Diaz C, 2014, DYNA, V81, P267",2,"as from the methodology selected the orders profiles is built, based on the characterization, the problems designing and picking is way comprehensive treated.",0
"Eduardo-Diaz C, 2014, DYNA, V81, P267",3,"different scenarios of distribution center design and picking and routing policies are evaluated, in order to identify the influence of the scenarios and policies at time of picking and utilization factor of resources involved in the process.",0
"Eduardo-Diaz C, 2014, DYNA, V81, P267",4,the results contribute to improvement of process indicators.,0
"Eduardo-Diaz C, 2014, DYNA, V81, P267",5,it is reflected in operating costs and customer service.,0
"Eduardo-Diaz C, 2014, DYNA, V81, P267",6,the authors.,0
"Eduardo-Diaz C, 2014, DYNA, V81, P267",7,licensee universidad nacional de colombia.,0
"Mendes LB, 2014, DYNA, V81, P189",0,this study was conducted to evaluate relatively simple protocols for monitoring ventilation rate (vr) in naturally-ventilated barns (nvb).,7
"Mendes LB, 2014, DYNA, V81, P189",1,"the test protocols were first applied to a mechanically-ventilated broiler barn (mvb), where vr was estimated more accurately and then were used to calculate vr in the nvb.",7
"Mendes LB, 2014, DYNA, V81, P189",2,co2 concentrations were measured with two different sampling schemes: (s1) the average of indoor measurements along the length of the building at two heights of 0.5 m and 1.5 m from the litter floor.,7
"Mendes LB, 2014, DYNA, V81, P189",3,and (s2) same as previous but with concentration measurements taken only at 0.5 m from litter.,7
"Mendes LB, 2014, DYNA, V81, P189",4,"the dynamic metabolic co2 production rate of the birds was predicted with two different algorithms: (a1) remaining constant throughout the dark and light periods, and (a2) varying with animal activity on an hourly basis.",7
"Mendes LB, 2014, DYNA, V81, P189",5,the results demonstrated that the combination of s2 with a1 or a2 yielded the best estimate of building vr in the nvb.,7
"Mendes LB, 2014, DYNA, V81, P189",6,the authors.,7
"Mendes LB, 2014, DYNA, V81, P189",7,licensee universidad nacional de colombia.,7
"Yime-Rodriguez E, 2014, DYNA, V81, P41",0,the dynamic model of a four control moment gyroscope (4-cmg) is traditionally obtained after computing the derivative of the angular momentum equation.,1
"Yime-Rodriguez E, 2014, DYNA, V81, P41",1,"although this approach leads to a simple dynamic model, new models have been introduced due to terms not taken into account during the computation of the angular momentum equation.",1
"Yime-Rodriguez E, 2014, DYNA, V81, P41",2,"in this paper, a new dynamic model for a 4-cmg based on the newton-euler algorithm, which is well accepted in robotics, was developed.",1
"Yime-Rodriguez E, 2014, DYNA, V81, P41",3,this new approach produces a complete dynamic model.,1
"Yime-Rodriguez E, 2014, DYNA, V81, P41",4,the authors.,1
"Yime-Rodriguez E, 2014, DYNA, V81, P41",5,licensee universidad nacional de colombia.,1
"Reyes-Rodriguez MB, 2014, DYNA, V81, P28",0,a very serious problem to consider in the mechanical design of shell and tube heat exchangers is the vibrations induced in the tubes by the fluid pass.,1
"Reyes-Rodriguez MB, 2014, DYNA, V81, P28",1,the vibration of the tubes of the shell and tube heat exchangers is a factor that limits the operation of these equipments in important way.,1
"Reyes-Rodriguez MB, 2014, DYNA, V81, P28",2,the dynamic processes of the nonstationary fluids that happen during the flow produce vibrations.,1
"Reyes-Rodriguez MB, 2014, DYNA, V81, P28",3,"these are turbulent pulsations of the pressure (turbulent flow), initiation of the vortex and separation of the tubes during the crossing of the currents, hydro elastic interaction of the assemblies of the transmitting elements of the heat (tubes) with the flow, and acoustic phenomena.",1
"Reyes-Rodriguez MB, 2014, DYNA, V81, P28",4,in the present work the procedure for the calculation of the vibrations in shell and tube heat exchangers is described.,1
"Reyes-Rodriguez MB, 2014, DYNA, V81, P28",5,the authors.,1
"Reyes-Rodriguez MB, 2014, DYNA, V81, P28",6,licensee universidad nacional de colombia.,1
"Balladares-Varela ER, 2014, DYNA, V81, P11",0,"in pyrometallurgical processing of copper, 5-10 wt-% of concentrates fed to smelting furnaces are released in the form of flue dust, which contains most of the impurities that pollute products and effluents as well as very significant amounts of copper.",30
"Balladares-Varela ER, 2014, DYNA, V81, P11",1,"consequently, these dusts cannot be disposed of as an industrial waste and must be treated to recover the copper in order to assure efficient processing.",30
"Balladares-Varela ER, 2014, DYNA, V81, P11",2,better process designs needs precise dust characterization.,30
"Balladares-Varela ER, 2014, DYNA, V81, P11",3,"the present study is aimed at generating useful physical, chemical and morphological information of copper smelting flue dust for samples from the gas handling system of a flash smelting furnace.",30
"Balladares-Varela ER, 2014, DYNA, V81, P11",4,the analyses showed that copper and iron are mainly found in water-soluble phases like chalcantite and chalcocyanite.,30
"Balladares-Varela ER, 2014, DYNA, V81, P11",5,the water-insoluble fraction contains largely hematite and magnetite.,30
"Balladares-Varela ER, 2014, DYNA, V81, P11",6,the presence of delafossite is likely.,30
"Balladares-Varela ER, 2014, DYNA, V81, P11",7,part of the copper detected in the insoluble fraction is also associated to iron in form of spinel.,30
"Balladares-Varela ER, 2014, DYNA, V81, P11",8,the authors.,30
"Balladares-Varela ER, 2014, DYNA, V81, P11",9,licensee universidad nacional de colombia.,30
"Lopez-Duque A, 2014, DYNA, V81, P65",0,"evaluation methods are presented to identify land use conflicts in cesar, colombia, due to african palm crops.",1
"Lopez-Duque A, 2014, DYNA, V81, P65",1,"the seeding dynamics of palm are evaluated over several periods to determine if it has displaced more suitable land uses, occupied protected areas, or substituted forest ecosystems.",1
"Lopez-Duque A, 2014, DYNA, V81, P65",2,the main intention is to resolve any doubts and corroborate declarations about the establishment of this species.,1
"Lopez-Duque A, 2014, DYNA, V81, P65",3,"the localization, extension, and growth of palm crops were determined through remote sensing and spatial analysis, as well as the land use conflicts.",1
"Lopez-Duque A, 2014, DYNA, V81, P65",4,recommendations are given to the scientific community and to palm growers.,1
"Lopez-Duque A, 2014, DYNA, V81, P65",5,"although minimal, unsuitable land uses due to seeding of palm mainly present conflicts with the underutilization of moderately fertile land and the invasion of water protection areas.",1
"Lopez-Duque A, 2014, DYNA, V81, P65",6,the authors.,1
"Lopez-Duque A, 2014, DYNA, V81, P65",7,licensee universidad nacional de colombia.,1
"Vega-Posada CA, 2014, DYNA, V81, P168",0,"this paper presents the results of a blast densification field study conducted at a waste disposal landfill located in south carolina, united states, to determine the type of gases released and their in-situ concentrations in the ground after blast densification.",1
"Vega-Posada CA, 2014, DYNA, V81, P168",1,the bat probe system was used to collect groundwater and gas samples at the middle of the targeted layer and to measure the porewater pressure evolution during and after the detonation of the explosive charges.,1
"Vega-Posada CA, 2014, DYNA, V81, P168",2,"in addition, standard topographic surveys along the centerline of the tested zones were conducted after each blast event to quantify the effectiveness of the blast densification technique to densify loose sand deposits.",1
"Vega-Posada CA, 2014, DYNA, V81, P168",3,the results of this study show that: a) the bat probe system is a reliably in situ technique to collect groundwater and gas samples before and after blasting.,1
"Vega-Posada CA, 2014, DYNA, V81, P168",4,b) the soil mass affected by the detonation of the explosives fully liquefied over a period of 6 hours while the in-situ vertical effective stresses returned to their initial values after about 3 days.,1
"Vega-Posada CA, 2014, DYNA, V81, P168",5,"and c) significant induced vertical strains were observed in the blasting area after each detonation, indicating that the soil mass has been successfully densified.",1
"Vega-Posada CA, 2014, DYNA, V81, P168",6,the authors.,1
"Vega-Posada CA, 2014, DYNA, V81, P168",7,licensee universidad nacional de colombia.,1
"Martinez EA, 2014, DYNA, V81, P87",0,sulphurs are present in different rocks.,5
"Martinez EA, 2014, DYNA, V81, P87",1,"during mining activities and the sulphur removal processes acid mine drainage (amd) may be produced, by sulphate ions (so4 2-) in solution.",5
"Martinez EA, 2014, DYNA, V81, P87",2,amds are the main source of pollution from mining operations and in colombia their discharge into natural bodies of water must comply with national environmental regulations (ph between 5 and 9).,5
"Martinez EA, 2014, DYNA, V81, P87",3,"cement kiln dust (ckd), with calcium carbonate as its main component, from a cementos argos s.a. plant was used to neutralize an amd generated through a coal bio-desulphurization process.",5
"Martinez EA, 2014, DYNA, V81, P87",4,neutralized amds had ph values between 7.72-8.05 and the sulphates removal ranged from 67% to 70%.,5
"Martinez EA, 2014, DYNA, V81, P87",5,precipitated sludge was dried and analyzed in order to determine its chemical and mineralogical composition.,5
"Martinez EA, 2014, DYNA, V81, P87",6,moisture content was between 69% and 81%.,5
"Martinez EA, 2014, DYNA, V81, P87",7,"this precipitated material was composed of gypsum with approximately 50% purity, as well as calcium carbonate.",5
"Martinez EA, 2014, DYNA, V81, P87",8,this composition makes it suitable for use in cement production.,5
"Martinez EA, 2014, DYNA, V81, P87",9,the authors.,5
"Martinez EA, 2014, DYNA, V81, P87",10,licensee universidad nacional de colombia.,5
"Mendez-Giraldo G, 2014, DYNA, V81, P276",0,"pedestrian systems are increasingly becoming important for transportation planning in cities, however, approaches are meant for microscopic analysis and representation, thus do not seem to be adequate for decision making at this specific strategic level, because of their feedback relationships between different levels, which cannot be easily represented with these approaches.",1
"Mendez-Giraldo G, 2014, DYNA, V81, P276",1,"this paper presents a prototype for analysis at strategic level of pedestrian systems, by making use of industrial dynamics.",1
"Mendez-Giraldo G, 2014, DYNA, V81, P276",2,"this approach allows to represent the relations of these feedback systems, through the use of both quantitative and qualitative, to analyze the responses of the system in the long run.",1
"Mendez-Giraldo G, 2014, DYNA, V81, P276",3,it is concluded that the proposed prototype allows to be a support for the strategic decisions of these systems.,1
"Mendez-Giraldo G, 2014, DYNA, V81, P276",4,allows analysis related to investment in education and regulation of deaths and injuries as well as their impact on the accident and the social cost.,1
"Mendez-Giraldo G, 2014, DYNA, V81, P276",5,the authors.,1
"Mendez-Giraldo G, 2014, DYNA, V81, P276",6,licensee universidad nacional de colombia.,1
"de Felipe-Blanch JJ, 2014, DYNA, V81, P153",0,this paper compares the incidence of fatal and non-fatal occupational injuries of workers in the mining and construction sectors in spain between 2000 and 2010. data on work injuries were obtained from the spanish ministry of labour and immigration and the denominators were obtained from the available statistics on social security registration.,4
"de Felipe-Blanch JJ, 2014, DYNA, V81, P153",1,"we calculated the incidence of fatal and nonfatal occupational injuries, the relative risk (rr) and odds ratio (or) for a 95% of confidence interval (ci) for the mining workers compared to the construction workers.",4
"de Felipe-Blanch JJ, 2014, DYNA, V81, P153",2,the obtained results indicate that mining workers have a higher risk of occupational injuries and lost more working days than the construction workers.,4
"de Felipe-Blanch JJ, 2014, DYNA, V81, P153",3,the authors.,4
"de Felipe-Blanch JJ, 2014, DYNA, V81, P153",4,licensee universidad nacional de colombia.,4
"Rodriguez-Diaz MA, 2014, DYNA, V81, P145",0,"this paper shows some results of the analysis of wall construction with adobe bricks, carried out in a pilot building in villa clara, cuba.",1
"Rodriguez-Diaz MA, 2014, DYNA, V81, P145",1,our main objective was to obtain some construction recommendations to avoid the humidity due to capillarity.,1
"Rodriguez-Diaz MA, 2014, DYNA, V81, P145",2,"the recommendations deal with uprising speed of construction, adequate wall longitude, binding mortar between adobe bricks, adobe protection from weathering, etc.",1
"Rodriguez-Diaz MA, 2014, DYNA, V81, P145",3,the authors.,1
"Rodriguez-Diaz MA, 2014, DYNA, V81, P145",4,licensee universidad nacional de colombia.,1
"Ortin F, 2014, DYNA, V81, P242",0,"multiple dispatch allows determining the actual method to be executed, depending on the dynamic types of its arguments.",10
"Ortin F, 2014, DYNA, V81, P242",1,"although some programming languages provide multiple dispatch, most widespread object-oriented languages lack this feature.",10
"Ortin F, 2014, DYNA, V81, P242",2,"therefore, different implementation techniques are commonly used to obtain multiple dispatch in these languages.",10
"Ortin F, 2014, DYNA, V81, P242",3,"we evaluate the existing approaches, presenting a new one based on hybrid dynamic and static typing.",10
"Ortin F, 2014, DYNA, V81, P242",4,"a qualitative evaluation is presented, considering factors such as software maintainability and readability, code size, parameter generalization, and compile-time type checking.",10
"Ortin F, 2014, DYNA, V81, P242",5,we also perform a quantitative assessment of runtime performance and memory consumption.,10
"Ortin F, 2014, DYNA, V81, P242",6,the authors.,10
"Ortin F, 2014, DYNA, V81, P242",7,licensee universidad nacional de colombia.,10
"Medina MA, 2014, DYNA, V81, P196",0,this paper presents a multi-objective teaching learning algorithm based on decomposition for solving the optimal reactive power dispatch problem (orpd).,4
"Medina MA, 2014, DYNA, V81, P196",1,the effectiveness and performance of the proposed algorithm are compared with respect to a multi-objective evolutionary algorithm based on decomposition (moea/d) and the nsga-ii.,4
"Medina MA, 2014, DYNA, V81, P196",2,a benchmark power system model is used to test the algorithms' performance.,4
"Medina MA, 2014, DYNA, V81, P196",3,the results of the power losses reduction as well as the performance metrics indicate that the proposed algorithm is a reliable choice for solving the problem.,4
"Medina MA, 2014, DYNA, V81, P196",4,the authors.,4
"Medina MA, 2014, DYNA, V81, P196",5,licensee universidad nacional de colombia.,4
"Higuera-Agudelo SJ, 2014, DYNA, V81, P108",0,we investigate the vortex state in a very long prism of square cross section with a central square defect in the presence of an external perpendicular magnetic field.,1
